CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008
Lợi nhuận gộp###Gross profit	84636	699276	120314	152079	168988	255256	998313	284697	235999	247064	227651	646269	201794	235604	129308	79819	333433	77009	72260	99120	84446	362348	95073	100706	100737	65833	258116	58193	66333	93560	39964	183531	54704	41502	53181	36101	212872	55377	57143	59451	40062	218502	18765	71010	77878	50849	202268	63100	61599	43100	34512	102477	54410
Doanh thu hoạt động tài chính###Financial activities Revenues	44109	58079	37340	35362	33325	24333	149334	47779	36739	34017	32334	114959	37947	26355	34783	23816	91359	28456	21636	28693	12604	54477	41089	9393	3055	1400	19340	26826	3195	3207	1932	16026	8266	4676	2199	885	10620	242	756	1392	2607	42306	10434	3234	11096	16476	24596	5373	7055	9033	3136	13393	2661
Chi phí tài chính###Financial Expenses	68597	159491	67315	51021	60625	52965	198265	59136	50771	58238	41066	195477	45902	49850	60529	39178	152035	37380	34558	30812	40753	138236	48142	34846	39229	20433	63022	33754	16064	16934	12142	62236	15198	19352	17330	12683	76265	13620	13863	26060	20956	115308	25890	27491	35204	22048	51975	20474	10192	11495	9814	25242	9287
Chi phí bán hàng###Selling Expenses	34335	194209	44662	56311	52253	40983	175826	54005	46131	42293	33397	164216	48017	48285	38747	29212	133534	42995	32981	31303	24881	131226	38061	39781	30141	23242	81279	24257	19731	19867	17424	76894	30443	17186	18190	11054	95103	33440	29789	16946	14928	71132	16269	21939	15762	17162	62528	19161	16193	15038	12136	48268	15536
Chi phí quản lý doanh nghiệp###Managing Expenses	9905	49373	12776	10691	11995	13315	51710	15739	10727	13360	11860	39476	9600	8696	10266	7804	41613	10436	7285	10773	8197	44921	12377	10100	10797	5565	31688	10447	5797	10613	4741	20139	5741	4969	5414	3907	22199	3600	3462	3267	3358	33627	3899	2967	3227	3434	10838	2607	2613	2826	2791	9196	6978
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	15907	354282	32901	69418	77439	172326	721847	203596	165109	167191	173661	362059	136221	155129	54550	27441	100331	14653	19072	64142	16723	109993	37582	25372	35744	17993	101467	16562	27937	49353	7590	40288	11588	4671	14446	9342	29926	4960	10784	14570	3427	40741	-16858	21848	34781	24681	101524	26230	39655	22774	12908	33164	25270
Thu nhập khác###Other incomes	1537	9117	2594	2305	3301	917	3132	578	115	160	2279	993	238	53	222	480	7163	3714	2405	1069	840	17708	11532	236	-53365	81656	21883	81	21943	73	46	1298	419	376	333	171	4495	655	911	504	2425	5954	940	1048	1462	2504	3794	1047	870	758	1119	2330	1596
Chi phí khác###Other Expenses	1672	10484	2681	2471	3738	1594	7085	485	2370	275	1292	1719	300	182	166	989	1919	1015	886	384	498	6998	26828	120	-64444	66928	22117	169	21803	99	47	1839	381	621	326	474	2656	451	1251	285	669	4591	1214	1782	1077	287	769	71	481	64	155	550	225
Lợi nhuận khác###Other profits	-136	-1367	-87	-166	-436	-678	-3953	93	-2256	-114	987	-726	-62	-129	55	-509	5244	2699	1518	685	342	10711	-15295	116	11079	14728	-235	-88	141	-26	-1	-541	37	-245	6	-303	1839	204	-340	219	1756	1363	-274	-733	385	2216	3024	977	389	695	964	1779	1371
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	15771	352915	32814	69252	77003	171649	717894	203689	162854	167077	174648	361334	136159	155000	54605	26932	105575	17352	20590	64827	17065	120704	22287	25488	46823	32721	101232	16474	28078	49328	7589	39747	11625	4426	14453	9039	31766	5164	10444	14789	5183	42104	-17132	21114	35165	26898	104548	27207	40044	23468	13872	34943	26641
Chi phí thuế TNDN###Corporate Income Tax Expenses	1649	26959	-3324	6759	7884	14701	74081	28156	17465	17426	7681	18441	6515	7712	2810	1419	6025	1007	2041	4964	1502	16569	4826	1489	667	11755	10813	5814	525	6275	-1801	-1351	357	366	0	0	-4823	0	0	0	-380	2495	0	1065	1410	2330	12906	0	8089	2080	0	1806	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1649	26962	-3324	6760	7883	14701	74089	28156	17474	17419	7681	18417	6515	7712	2781	1419	6131	1007	2041	4964	1502	16569	4826	1489	667	11755	10813	5814	525	6275	-1801	-950	357	366	614	426	-5225	289	589	-90	-380	2495	0	1065	1173	2330	12906	2737	8089	2080	0	1806	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	-3	0	-1	2	0	-8	0	-8	7	0	24	0	0	29	0	-105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-402	0	0	6	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	14960	338972	39316	66708	71777	159911	654519	178154	148825	149651	168312	348165	131261	148535	53062	26644	104624	16345	18550	59862	15564	108107	17461	23999	46156	20965	90419	10660	27553	43052	9390	41099	11268	4060	13832	8613	36589	4875	9855	14879	5563	39609	-17132	20049	33992	24568	91642	24470	31955	21389	13872	33137	26641
---Cac Chi So Tai Chinh---																																																					
EBITDA	0.66	0.60	0.60	0.68	0.60	0.67	0.61	0.61	0.86	0.89	1.08	1.42	1.42	1.00	1.40	0.89	0.99	0.99	0.96	0.75	1.11	1.06	1.06	1.13	1.56	1.90	1.84	1.84	2.01	1.86	1.07	0.79	0.79	0.75	1.26	1.63	1.73	1.73	1.81	1.44	1.18	1.14	1.14	0.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.85	5.15	5.15	5.78	5.98	6.23	5.80	5.80	9.06	8.62	9.50	7.53	7.53	3.96	4.02	2.88	2.49	2.49	2.91	3.71	4.89	5.38	5.38	4.76	4.25	5.16	6.03	6.03	6.48	5.24	5.90	2.79	2.79	2.52	2.52	2.52	2.72	2.72	2.79	3.14	2.86	2.13	2.13	4.02	5.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
